string,count
ն,19848
ր,13127
ց,9685
կ,8533
յ,7642
լ,7059
թ,6653
տ,6159
ս,5930
մ,5821
հ,4548
զ,4534
պ,4129
ղ,3927
ք,3606
գ,3573
բ,2883
վ,2730
խ,2587
ռ,2492
դ,1826
ծ,1820
նն,1734
ստ,1716
ցն,1696
շ,1496
փ,1341
մբ,1272
նս,1244
նդ,1221
յն,1198
րդ,1196
ճ,930
սց,891
զմ,882
րկ,858
րտ,851
ջ,840
չ,769
րս,644
ռն,602
ժ,593
զգ,591
լք,590
նք,580
րհ,569
մն,561
րծ,545
րձ,543
րգ,543
յր,535
նկ,520
նց,518
ձ,518
սն,507
սպ,507
րմ,503
շտ,471
զհ,471
լն,465
շխ,450
րք,448
նգ,442
րն,418
կն,412
հր,395
քն,381
զկ,378
տն,340
զբ,336
նսն,336
յց,330
զն,324
գն,321
զպ,301
սկ,299
ցս,294
գր,291
լս,290
յս,260
դր,255
մք,253
նձ,250
րբ,246
կս,235
զդ,234
տր,234
րժ,231
նմ,230
րթ,229
զս,226
խտ,219
ղբ,216
զվ,206
նքն,205
յլ,203
զխ,203
նտ,202
զյ,202
նցն,200
րշ,195
նչ,195
վք,191
զտ,184
վն,184
նջ,174
րսն,169
հմ,167
հն,167
զք,165
կր,161
բն,158
տս,158
մտ,155
ղն,152
խն,152
ղմ,146
շն,145
մբն,144
ղք,142
քս,142
կց,140
խր,138
մբք,135
սր,134
յտ,133
լսն,132
մր,132
նշ,132
նթ,131
մս,127
ծն,127
յք,126
նհ,125
ցդ,124
ղթ,124
զփ,120
կք,118
ղջ,117
ջն,117
տմ,117
զթ,111
-,109
ղս,109
րկր,108
տկ,107
րց,105
գտ,105
րքն,103
սք,103
քր,101
յթ,101
զզ,101
յնս,98
զր,96
զլ,95
տք,93
րջ,93
րճ,92
րձր,92
վկ,90
նձն,90
րպ,89
նպ,89
վր,88
յծ,87
ծս,87
ղկ,87
յսն,84
ղխ,84
րհն,83
ցմ,82
սջ,81
ղծ,81
բռն,81
զշ,81
ցք,78
վտ,77
նծ,77
զծ,77
սս,76
պստ,76
րդն,74
րչ,73
րհրդ,72
ղտ,71
պր,71
խնդր,71
ն-,70
թն,70
սրբ,70
նխ,70
վս,68
մպ,68
յգ,68
զհր,68
ղղ,67
խճ,67
զձ,67
զչ,67
կսն,65
պս,65
կռ,65
նդր,65
րմն,65
գլխ,65
կղ,65
րկն,65
նր,64
լքն,61
նյ,61
սմ,61
րր,60
տգ,60
ցկ,59
նճ,59
յտն,58
խստ,58
բր,57
ստն,57
պտ,56
նտր,56
նձր,56
շրջ,56
վքն,55
չք,55
գլ,55
սխ,54
կտ,54
հռ,54
խնդ,53
նբ,52
չն,51
րստ,50
նդն,49
հպ,49
թս,48
թշն,48
յդ,47
րզ,47
րդկ,47
սրտ,47
յնք,46
նստ,46
ձգ,46
ռս,45
ղձ,45
փրկ,45
զճ,45
նդդ,44
րդս,43
տճ,43
մխ,43
դժ,43
ղմն,42
լց,42
վհ,42
ղցր,42
տսն,41
հս,41
փր,41
ղսն,41
խռ,41
կմ,40
շկ,40
զց,40
գթ,39
րկրպ,39
ճշմ,39
շմ,38
նզ,38
նգն,38
զժ,38
յկ,38
փս,37
ծկ,37
վշտ,37
վճ,36
յրն,36
սլ,35
պղծ,35
ծք,35
ղդ,35
զսպ,35
տքն,34
մնն,34
սդ,34
փշտ,34
մշ,34
ճգն,34
տրտմ,34
րշտ,33
հզ,33
մբռն,33
նսդ,33
պտղ,33
շք,32
ցսն,32
յնն,32
յնպ,32
րտն,32
նզգ,32
մբքն,32
գնդ,32
դն,32
բժշկ,32
րգմ,32
րսպ,32
յղ,32
գս,31
րփ,31
վմ,31
ստր,31
կլ,31
ստկ,31
ձմ,31
մկրտ,31
յքն,30
զբն,30
ծսն,30
լչ,30
րդմ,30
վրդ,30
տթ,30
քնն,30
հլ,29
կքն,29
չս,29
ց-,29
պհ,29
ցր,29
քդ,28
րդք,28
լդ,28
քտ,28
թշ,28
ստս,27
րտս,27
տնկ,27
խս,26
ղց,26
ժն,26
տղ,26
րսկ,26
հնձ,26
զրկ,25
յսպ,25
ր-,25
զռ,25
զքր,25
պնդ,25
խմ,24
նդս,24
ցց,24
րզպ,24
լռ,24
կրթ,24
հք,23
նցս,23
տշ,23
ղքն,23
շփ,23
խլ,23
ճկ,23
զստ,23
ծննդ,23
վստ,23
րխ,22
յզ,22
մսն,22
նհն,22
րծր,22
յնսն,22
դպր,22
զղջ,21
հնչ,21
շնչ,21
ցնծ,21
սփ,20
ռնն,20
ժկ,20
նվ,20
րտք,20
լլ,20
յ-,20
բղխ,20
րկս,20
ջր,20
մթ,19
վդ,19
յսս,19
յրս,19
չքն,19
ջս,19
թմ,19
րքս,19
րդսն,19
րբն,19
գրգռ,19
ս-,19
յցն,19
զկր,19
յհ,19
նդգն,19
զջ,19
զվր,19
զգն,18
ռք,18
թք,18
տչ,18
յմ,18
րծս,18
լքդ,18
սսն,18
տրպ,18
լ-,18
հռչ,18
ռնկ,18
խք,18
չմ,18
յռ,18
զմն,18
նգստ,18
կնք,18
սգ,18
գռ,17
ղջկ,17
ղփ,17
յպ,17
յսք,17
յթս,17
նժ,17
նլ,17
դրժ,17
զզր,17
րնչ,17
ջնջ,17
սփռ,17
բդ,16
հկ,16
թսն,16
շտն,16
լր,16
մկ,16
նկն,16
ստք,16
ղգ,16
մբս,16
լքս,16
գմ,16
թր,16
սթ,16
զհն,16
կշռ,16
փկ,16
խմբ,16
կրկն,16
բգ,15
մփ,15
նդնդ,15
յժ,15
նձկ,15
րտնչ,15
նմտ,15
նփ,15
ռմ,15
տտ,15
դղ,15
ռսն,15
բլր,15
պն,15
դրդ,15
րտկ,15
զգր,15
զմտ,15
լտ,15
վբ,15
տժ,15
սկս,15
փղ,15
րցն,14
ճմ,14
մղ,14
րկբ,14
նցդ,14
յցս,14
մբդ,14
թռ,14
սքն,14
փշ,14
հճ,14
դմ,14
րկնչ,14
հսն,14
զդր,14
զթշն,14
հրդ,14
սբ,14
լծ,14
րս-,14
կշտ,14
կտտ,14
սմբ,14
րժմ,13
նչս,13
րտսն,13
րջն,13
ճն,13
փլ,13
վպ,13
րկպ,13
նկղ,13
ցբ,13
րդպ,13
զվկ,13
խչ,13
թղթ,13
կրտս,13
մշտնջ,13
ննջ,13
բդլ,12
րծք,12
լմ,12
րձս,12
շս,12
րհս,12
ծպ,12
րթն,12
նձս,12
յնքն,12
փն,12
կչ,12
դստ,12
կշ,12
մրջ,12
նկտ,12
զնշ,12
չխ,12
ճշգրտ,12
խջ,12
պղնձ,12
նդք,11
ծմ,11
ղմկ,11
մդ,11
յլս,11
րգն,11
մքն,11
նդհ,11
ղլ,11
պշ,11
ռհ,11
րմզդ,11
րծն,11
գսն,11
գք,11
կտր,11
մբշ,11
խթ,11
քշ,11
րկմտ,11
փթ,11
նդխտ,11
զգլխ,11
գպ,11
զշն,11
զսք,11
նթր,11
լրտ,11
կղզ,11
հնգ,11
պղ,11
պղտ,11
ղտկ,11
տխր,11
կդ,10
ղձն,10
յժմ,10
սկզբ,10
րգս,10
նչք,10
ննշ,10
փք,10
տսպ,10
նքդ,10
ռկ,10
րձն,10
ռց,10
շր,10
նդսն,10
րձց,10
ղթն,10
ղտն,10
րսդ,10
շղ,10
զբռն,10
զզգ,10
ստմ,10
զխստ,10
զխր,10
զծն,10
զղ,10
զսրբ,10
նկղմ,10
տռ,10
նգչ,10
հմտ,10
ձգտ,10
ճչ,10
ցպ,10
շղթ,10
պճն,10
ցրտ,10
պպ,9
խտն,9
ծց,9
կնկ,9
ղճ,9
շտս,9
մռ,9
լսդ,9
րդքն,9
սպն,9
փհ,9
բկ,9
բլ,9
չսն,9
քմ,9
խսն,9
գծ,9
զխն,9
նկս,9
րմր,9
րցմ,9
ղր,9
շտպ,9
զվն,9
ժխնդր,9
սչ,9
