string,count
ն,47283
ր,32156
մ,22449
կ,22021
ց,21172
յ,16047
թ,15780
ս,14931
տ,14675
լ,13285
ղ,10665
հ,10550
պ,9361
գ,9335
բ,9241
զ,8730
ք,8163
խ,6925
ռ,6139
վ,5829
ծ,5009
դ,4758
փ,4074
ստ,3813
շ,3813
յն,2814
նդ,2644
րդ,2644
չ,2473
ճ,2427
նն,2220
սց,2207
ցն,2202
ջ,2154
րտ,2017
րկ,2012
մբ,1884
նս,1789
մն,1773
զմ,1761
ձ,1541
ռն,1509
ժ,1490
րծ,1454
նք,1423
նկ,1406
րձ,1371
րգ,1192
րհ,1185
զգ,1165
յր,1162
սն,1144
նգ,1101
րմ,1088
րս,1044
շտ,981
նց,943
հր,885
յց,861
սպ,850
շխ,829
կն,791
գն,761
լք,747
րք,723
յլ,710
րն,705
լն,696
տն,682
սկ,669
քն,652
դր,647
զհ,615
գր,596
րթ,592
րժ,577
տր,568
րբ,562
զկ,561
նձ,555
զբ,551
զն,541
նմ,530
նչ,517
նտ,511
յս,510
լս,473
նքն,473
նսն,457
րշ,451
խտ,446
նթ,441
նջ,438
կց,437
զպ,429
ղբ,421
վն,418
բն,415
ցս,412
մք,402
մտ,402
զս,392
կս,384
ղմ,370
րպ,367
սր,361
յտ,360
կր,357
ղջ,351
զդ,350
զյ,348
յք,342
շն,338
ղն,335
նհ,332
հմ,330
յթ,323
ղկ,322
նշ,318
խր,307
ղք,294
քր,292
վք,292
ծն,291
ղծ,289
տկ,285
զխ,285
քս,283
յծ,283
զտ,281
հն,281
խն,280
վր,276
նպ,270
դժ,269
զք,267
զվ,262
րճ,259
նխ,255
րսն,253
նր,252
րկր,252
նծ,252
սջ,251
նցն,245
մր,244
րջ,239
զր,238
մս,238
տս,232
մպ,231
նձն,230
ղխ,228
ղթ,228
ղղ,228
ցդ,225
սք,224
ջն,222
թն,220
վթ,217
կք,217
սրբ,217
ղս,210
րձր,208
ղտ,204
րմն,204
նբ,203
վս,202
ցկ,197
շրջ,196
տմ,196
նճ,195
րց,194
մբք,192
զփ,190
ղձ,189
լսն,189
նյ,186
րչ,185
րկն,185
