string,count
ան,19219
ու,15053
ար,9947
կա,8628
նա,8295
րա,8134
ակ,7382
մա,6275
տա,6261
հա,6091
ւթ,6003
ւն,5910
եա,5648
բա,5564
պա,5383
այ,5275
իւ,5028
յա,4805
ամ,4764
եր,4749
աւ,4379
աց,4322
թի,4133
զա,4128
ւա,4000
որ,3992
աս,3601
սա,3562
նե,3439
րե,3426
ին,3413
խա,3343
րո,3274
տո,3259
ալ,3169
նո,3121
ցա,3077
կո,2972
ատ,2916
եմ,2852
ղա,2840
ել,2738
գո,2649
դա,2603
ապ,2569
առ,2562
ոյ,2552
լո,2521
վա,2503
ստ,2492
քա,2432
տե,2421
կե,2407
թե,2388
ցո,2372
ծա,2368
գա,2330
ագ,2318
ռա,2315
ւո,2218
եց,2193
մե,2175
խո,2065
ցի,2052
րդ,2031
ես,1989
նի,1984
աղ,1969
թա,1957
նդ,1942
ւր,1938
աբ,1928
ւց,1890
յն,1781
զմ,1777
են,1748
շա,1744
ցե,1742
գե,1719
ով,1712
րի,1690
սն,1682
փա,1667
ող,1648
ից,1632
եղ,1630
իմ,1627
յե,1607
մո,1507
ւս,1497
ահ,1496
սո,1486
յո,1439
դի,1438
տի,1436
րկ,1429
ըն,1405
կի,1402
լա,1384
րտ,1381
ցն,1378
բե,1360
ճա,1360
հե,1354
ղո,1350
ջա,1347
նս,1317
մբ,1316
ազ,1301
մի,1298
լի,1297
հո,1264
բո,1242
իս,1235
ոս,1226
աշ,1224
նն,1213
ած,1187
փո,1186
քն,1185
ւմ,1172
ախ,1169
րձ,1169
սց,1151
սի,1149
իր,1144
զո,1144
ոց,1128
սե,1127
ռն,1127
զգ,1112
զե,1073
մն,1059
րծ,1047
չա,1029
յի,999
ղե,995
գի,973
նէ,966
րհ,965
րմ,961
րս,956
նգ,939
հր,934
նք,924
վե,917
աք,912
ժա,890
եւ,888
ծո,884
նկ,877
դո,865
դե,861
պե,845
կն,836
թո,830
յր,825
տն,813
րգ,782
զհ,763
շտ,760
տր,757
ւք,754
կր,741
ւե,737
դր,733
էն,728
ադ,722
զբ,720
իկ,715
ափ,704
ցէ,701
սպ,699
ետ,696
գն,694
ձա,691
էր,684
լե,672
զկ,671
նց,660
սր,648
օր,641
հի,627
րէ,618
նձ,608
ձե,604
ղի,590
էս,585
ռո,581
գր,574
զս,571
իք,570
ւտ,561
էի,559
իա,556
աթ,555
իտ,555
հն,555
ւղ,552
խն,550
խե,548
ծե,546
յց,536
զն,535
ոն,533
րք,529
ոտ,505
ւի,503
սկ,499
րթ,488
բն,486
րն,483
զպ,482
պո,479
քե,479
շո,476
լք,474
իչ,450
քո,448
րբ,440
ջե,440
վի,437
զի,426
պէ,426
պի,420
յտ,418
յս,417
շն,415
եկ,414
լս,409
ջո,407
զօ,407
աջ,403
քր,401
րշ,401
յլ,400
չո,398
մտ,396
էք,395
փե,395
շի,394
աճ,386
լն,384
ղմ,378
նչ,371
ռե,367
նջ,367
զդ,367
ծի,362
զխ,360
խր,354
զյ,353
շե,352
եռ,350
րժ,349
դժ,348
բի,345
խտ,342
զտ,342
զվ,338
ջի,335
աձ,330
զք,327
կս,325
օք,323
սէ,323
նմ,313
աչ,311
ծն,311
յօ,311
ձի,308
տէ,306
վր,306
հմ,300
իշ,299
ցս,297
ճո,297
նտ,293
կց,293
յթ,292
նշ,291
չե,289
զր,287
շխ,285
տմ,285
ւկ,283
քս,283
ժո,282
րպ,282
տս,281
ոխ,277
