string,count
ան,19256
ու,15125
ար,9912
կա,8688
նա,8686
րա,8271
ակ,7400
աւ,6731
տա,6458
մա,6383
ւթ,6226
հա,6160
ւն,6103
եա,5847
բա,5604
պա,5419
այ,5257
յա,5121
իւ,5019
ամ,4776
եր,4722
զա,4537
աց,4363
թի,4146
ւա,4022
որ,3973
խա,3607
աս,3605
սա,3590
նե,3480
րե,3368
ին,3329
րո,3249
տո,3238
ցա,3148
ալ,3140
նո,3113
կո,2981
ատ,2906
եմ,2864
ղա,2863
ել,2770
գո,2654
ւր,2624
դա,2613
ոյ,2584
ապ,2565
առ,2552
ստ,2507
լո,2504
վա,2502
քա,2455
թե,2436
գա,2410
կե,2406
ծա,2405
տե,2371
ռա,2360
ցո,2350
ագ,2300
եց,2229
ւո,2217
մե,2179
խո,2066
ցի,2053
րդ,2032
ես,2006
նի,1999
թա,1980
աղ,1974
նդ,1954
աբ,1914
ւց,1871
ւս,1808
զմ,1777
րի,1768
յն,1768
շա,1749
են,1747
ցե,1731
ով,1720
գե,1715
սն,1670
փա,1668
ից,1661
ող,1661
եղ,1642
իմ,1635
յե,1619
մո,1510
սո,1489
ահ,1480
յո,1441
դի,1438
րկ,1428
լա,1419
կի,1408
տի,1408
ըն,1399
ցն,1382
ճա,1382
րտ,1379
ջա,1372
բե,1359
հե,1359
ղո,1330
նս,1323
մբ,1322
մի,1298
ազ,1295
լի,1286
հո,1267
իս,1251
բո,1242
ոս,1227
աշ,1213
նն,1200
ած,1195
փո,1181
ախ,1173
քն,1171
րձ,1169
ւմ,1163
ւք,1145
զո,1144
իր,1134
ռն,1128
սց,1126
ոց,1123
զգ,1117
սի,1114
սե,1090
զե,1073
մն,1071
րծ,1053
չա,1039
րհ,1018
յի,999
նէ,985
ղե,982
գի,973
րս,963
րմ,959
նգ,939
հր,933
նք,932
աք,921
վե,917
նկ,884
եւ,883
ծո,875
դո,873
դե,854
ժա,838
կն,837
պե,836
թո,835
ւտ,835
յր,824
տն,813
րգ,784
զհ,763
շտ,761
ափ,755
դր,753
տր,753
ւղ,741
կր,741
ձա,736
ւե,736
գն,732
զբ,720
էն,718
իկ,717
ետ,703
ադ,702
ցէ,699
սպ,697
էր,690
զկ,671
լե,670
նց,661
սր,647
հի,629
րէ,622
ձե,607
նձ,606
ղի,593
ռո,584
էս,581
գր,577
զս,571
էի,565
իա,562
իք,562
աթ,552
իտ,552
խն,550
ծե,548
խե,548
զն,536
յց,532
ոն,531
րք,523
ոտ,506
ւի,502
հն,499
սկ,499
րթ,491
րն,488
բն,487
զպ,482
լք,479
քե,477
պո,476
շո,465
իչ,449
քո,448
ջե,447
րբ,441
վի,434
պէ,429
զի,425
յտ,418
լս,417
յս,417
պի,417
շն,413
եկ,409
ջո,409
քր,401
րշ,400
չո,400
աջ,399
յլ,399
էք,396
մտ,395
շի,394
աճ,384
լն,383
ղմ,378
նչ,367
ռե,367
զդ,367
ծի,365
զխ,360
փե,358
խր,354
նջ,353
զյ,353
եռ,351
րժ,351
շե,349
դժ,348
բի,344
խտ,342
զտ,342
ջի,341
զվ,338
ւշ,328
զք,327
կս,325
աձ,323
նմ,314
ծն,314
սէ,313
ձի,308
վր,306
աչ,305
հմ,302
ցս,299
իշ,298
ճո,297
նշ,293
նտ,292
տէ,292
չե,291
յթ,290
կց,289
շխ,288
զր,286
ավ,285
րպ,285
ւկ,285
տմ,285
տս,283
ժո,278
ւլ,278
ւժ,276
մր,275
ոխ,274
քս,274
կէ,273
վն,272
ցւ,266
ղկ,265
եզ,264
նր,264
ւէ,262
քի,259
խի,259
ւգ,258
տկ,258
ձո,255
ոգ,246
րճ,244
ղէ,240
յք,240
շր,240
փի,239
բռ,237
ճե,234
փր,231
էա,228
իո,227
մք,227
գլ,224
պտ,223
վք,222
դն,222
կտ,220
ռի,218
զփ,218
ջր,216
ղն,214
իպ,207
պղ,207
մս,206
ձն,206
զզ,206
զթ,206
րց,205
ղթ,204
դէ,203
յծ,202
ղց,202
եք,201
ւզ,201
րջ,196
վո,195
ղղ,195
հռ,195
գէ,192
սք,192
բէ,192
մէ,191
ւդ,191
չի,189
աժ,188
կռ,188
ւռ,187
ցկ,187
մշ,187
ղք,186
ոք,185
ջն,184
տք,181
ղտ,179
զլ,179
ոմ,178
վս,177
ղբ,173
իլ,173
վտ,169
կղ,169
գտ,167
ըմ,165
իթ,164
բր,164
նթ,164
իջ,161
ւծ,159
ղս,158
ւխ,157
թն,157
եշ,157
շկ,156
եգ,156
ոհ,155
դդ,154
ցդ,153
բք,153
էտ,153
զծ,153
ւհ,152
զշ,152
կք,148
ղխ,147
ղջ,147
էլ,146
ճի,145
վթ,142
իդ,141
խս,141
եդ,140
պս,140
հպ,138
յէ,138
եպ,137
ոլ,136
տղ,134
նխ,134
ցք,133
թշ,132
րզ,132
վկ,131
ոռ,130
ղծ,130
ղձ,130
կշ,130
մկ,127
խռ,127
ճշ,127
սջ,125
սխ,125
նճ,125
րչ,123
պր,122
էո,118
զը,117
ձգ,117
ոշ,116
փշ,116
ցր,116
եթ,115
սդ,115
պն,114
զձ,114
իգ,111
թս,111
տգ,110
զչ,109
դս,108
եհ,107
դմ,107
ոջ,107
սփ,106
իզ,105
եծ,105
ղդ,105
մխ,105
րր,104
սս,103
չք,103
ծկ,103
ծս,102
ոպ,102
խճ,102
եփ,102
սմ,101
վշ,99
յը,99
ոչ,98
եբ,96
քդ,94
