string,count
ան,37711
ու,33708
ար,26185
նա,17384
րա,16217
ակ,16101
աւ,15077
կա,14577
այ,12655
ւթ,12171
ւն,11865
եա,11750
իւ,11079
մա,11036
տա,10884
եր,10799
ամ,10386
որ,9823
աց,9288
ատ,8520
թի,8152
պա,8138
հա,8036
բա,7915
աս,7504
ին,7095
ալ,6734
նե,6464
րո,6358
ւա,6233
րե,6110
ել,6008
նո,5928
սա,5915
առ,5852
եմ,5824
ցա,5781
ոյ,5746
յա,5692
զա,5499
տո,5417
ագ,5327
աղ,5287
ապ,5129
եց,4989
ստ,4921
ղա,4811
խա,4774
դա,4699
թե,4597
կո,4496
ւր,4492
ցո,4429
ես,4417
գո,4410
աբ,4335
ով,4332
եղ,4301
լո,4278
գա,4225
տե,4194
ւո,4183
ռա,4089
կե,4074
նդ,4073
ահ,4054
ցի,4040
ող,3977
են,3923
նի,3876
ազ,3843
րի,3534
րդ,3484
ախ,3480
ծա,3418
ից,3415
թա,3358
ցե,3344
մե,3342
քա,3337
իմ,3324
ւց,3317
վա,3261
րկ,3215
յն,3186
սն,3087
ած,3002
ւս,2871
շա,2851
իր,2803
րտ,2792
խո,2732
աշ,2726
նս,2719
նն,2664
մբ,2653
գե,2637
ոս,2590
ցն,2585
տի,2557
իս,2526
մո,2520
ոց,2436
կի,2379
լի,2342
մն,2304
սո,2293
լա,2274
դի,2254
փա,2240
ղո,2235
սց,2213
ւք,2168
ւմ,2163
աք,2142
ճա,2140
նք,2130
քն,2107
յե,2058
եւ,2050
ռն,2024
բե,2023
նէ,1976
նկ,1957
սի,1954
զմ,1893
մի,1887
սե,1884
ափ,1882
ետ,1876
իա,1868
բո,1846
ջա,1838
ըն,1810
հո,1790
հե,1787
յո,1759
րձ,1724
ղե,1722
րծ,1662
ադ,1657
րս,1650
գի,1618
րհ,1583
շտ,1576
չա,1550
փո,1538
ւե,1538
իկ,1524
դո,1520
ծո,1520
էն,1514
ձա,1495
յի,1489
նգ,1486
րմ,1479
ւտ,1464
էր,1448
պե,1444
դե,1429
ւղ,1414
զո,1411
ոն,1403
ցէ,1399
րգ,1383
կն,1375
զե,1374
զգ,1373
աթ,1369
տն,1336
թո,1333
աջ,1321
րէ,1304
յր,1299
ժա,1298
իտ,1297
ռո,1296
նց,1293
իք,1261
ոտ,1228
եռ,1215
հր,1209
էի,1197
եկ,1197
նձ,1155
էս,1151
ղի,1148
գն,1104
սպ,1101
աճ,1089
դր,1085
տր,1084
լե,1078
վե,1032
կր,1029
ձե,1020
ծե,999
րք,996
սկ,994
րբ,968
յց,938
լք,924
ոխ,916
իչ,915
ոգ,907
նչ,899
հի,880
շխ,869
րն,862
քե,850
սր,846
պէ,840
էք,822
ւի,814
րթ,809
պո,808
բն,806
գր,793
նջ,787
յս,779
պի,779
յլ,767
զհ,764
շո,761
աձ,754
զբ,753
նտ,744
քո,729
խե,727
լս,724
իշ,723
լն,722
խն,701
աչ,695
ռե,692
հն,687
զկ,685
ժո,681
եծ,674
ջո,672
սէ,663
զն,662
կս,660
ծի,650
րժ,638
նմ,638
ւշ,632
մտ,624
եզ,622
ջե,621
ավ,616
ջի,612
շն,609
ոլ,607
զս,593
փե,592
րջ,589
րշ,587
խտ,584
չո,583
զի,575
ղմ,572
ձո,568
շի,550
ոհ,549
վի,546
տէ,544
շե,542
ցս,538
յտ,535
տս,531
նթ,529
ւգ,526
բի,525
կէ,522
ձի,520
ոմ,509
րպ,509
իո,507
քի,506
զպ,502
չե,501
աժ,500
ցւ,499
ղէ,488
ւկ,487
քս,480
մր,480
եք,474
իջ,474
ղջ,471
կց,469
նշ,465
իպ,457
ռի,457
իլ,452
ոռ,451
եթ,451
մք,450
վն,449
ղբ,448
քր,448
ծն,443
զդ,441
տկ,439
նհ,437
ճո,436
ղն,434
խր,434
խի,431
եհ,425
ւէ,420
ճե,416
ւժ,416
ղծ,415
վր,414
ոք,409
ւլ,403
յք,403
դէ,400
էա,393
հմ,391
վք,387
յթ,382
եգ,377
ձր,374
փի,374
մէ,368
զր,368
ղկ,367
դժ,362
զխ,360
րճ,359
ւխ,357
թն,356
նպ,354
զյ,354
էտ,352
զտ,350
եբ,350
տմ,348
ոչ,344
ւդ,343
զվ,340
դն,339
ւռ,338
նխ,338
էլ,337
մս,337
զք,336
տք,335
եդ,334
իզ,334
նծ,334
ղք,333
իթ,332
կտ,332
ոփ,331
չի,330
եպ,330
եշ,328
գլ,325
ոշ,322
իդ,321
ջն,320
ոպ,319
ղտ,316
պր,316
կք,311
ղխ,311
պտ,311
գէ,310
ոզ,308
ձն,307
նր,306
