string,count
ա,166981
ե,49420
ի,33950
ու,33618
ո,29560
այ,11266
իւ,11055
եա,10125
աւ,9831
է,9604
ոյ,5742
օ,4792
ով,2904
ը,2241
եւ,2052
իա,1590
եայ,1210
էի,1164
ւ,970
էա,368
իո,345
եօ,219
իայ,216
եաւ,216
աա,189
իե,147
էո,130
իէ,101
էու,82
իու,81
իով,57
ավ,54
էէ,49
իաւ,38
եէ,37
էով,32
էե,31
էիւ,29
ոո,25
իոյ,24
իի,22
եյ,18
իօ,17
էայ,12
ըւ,11
աե,11
իը,11
աո,10
աի,9
էյ,8
եի,7
էոյ,7
եե,7
էօ,7
էիա,6
աու,5
ոա,5
եու,5
աէ,4
աայ,4
էաւ,4
աով,4
իեա,3
եով,3
աաւ,2
իեայ,2
ոով,2
աէա,2
եոյ,2
իվ,2
աիայ,1
եաո,1
եը,1
եվ,1
էը,1
իյ,1
եիէ,1
օյ,1
աը,1
ըէ,1
էեւ,1
աիա,1
աէու,1
իաա,1
իիւ,1
ոայ,1
էիէ,1
աէի,1
աեւ,1
ոե,1
էեայ,1
ոի,1
