string,count
ա,166411
ե,49296
ի,33764
ու,33534
ո,29474
աւ,14574
այ,11210
իւ,11048
եա,10100
է,9496
ոյ,5713
ով,2875
ը,2241
եւ,2048
իա,1588
եայ,1208
էի,1160
ւ,968
եաւ,435
էա,368
իո,345
իայ,216
աա,189
իե,147
էո,130
իէ,101
էու,82
իու,81
իով,57
իաւ,55
ավ,54
էէ,49
եէ,37
էով,32
էե,31
էիւ,29
ոո,25
իոյ,24
իի,22
եյ,18
էայ,12
ըւ,11
աե,11
իը,11
էաւ,11
աո,10
աի,9
էյ,8
եի,7
էոյ,7
եե,7
էիա,6
աու,5
ոա,5
եու,5
աէ,4
աայ,4
աով,4
իեա,3
եով,3
աաւ,2
իեայ,2
ոով,2
աէա,2
եոյ,2
իվ,2
աիայ,1
եաո,1
եը,1
եվ,1
էը,1
իյ,1
եիէ,1
աը,1
ըէ,1
էեւ,1
աիա,1
աէու,1
իաա,1
իիւ,1
ոայ,1
էիէ,1
աէի,1
աեւ,1
ոե,1
էեայ,1
ոի,1
